"Reference","Qty","Value","Manufacturer","Mfr. PN","Digikey PN","Mouser PN"
"C101,C102,C103,C110","4","100n","Murata","GCM155R71H104KE02D","490-10672-1-ND","81-GCM155R71H104KE2D"
"C104,C105,C106","3","220p","Murata","GRM1555C1H221JA01D","490-1293-1-ND","81-GRM1555C1H221JA01"
"C107,C108","2","100p","Murata","GRM1555C1H101JA01D","490-5922-1-ND","81-GRM1555C1H101JA1D"
"C109,C111","2","1.00p","Murata","GRM1555C1H1R0BA01D","490-6206-1-ND","81-GRM1555C1H1R0BA1D"
"C112","1","1.80p","Murata","GJM1555C1H1R8BB01D","490-8089-1-ND","81-GJM1555C1H1R8BB01"
"C113","1","1.50p","Murata","GJM1555C1H1R5BB01D","490-8087-1-ND","81-GJM1555C1H1R5BB1D"
"C114,C115","2","18.0p","Murata","GRM1555C1H180JA01D","490-5858-1-ND","81-GRM1555C1H180JA1D"
"C116,C117","2","2.20u","Murata","GRM155Z71A225KE44D","490-GRM155Z71A225KE44DCT-ND","81-GRM155Z71A225KE4D"
"D101","1","SDD32A05L01","YAGEO","SDD32A05L01","13-SDD32A05L01CT-ND","603-SDD32A05L01"
"D102","1","LED","Rohm","SML-D12M8WT86","846-SML-D12M8WT86CT-ND","755-SML-D12M8WT86"
"J101","1","SMA","Samtec","SMA-J-P-H-ST-EM1","SAM8857-ND","200-SMAJPHSTEM1"
"J102","1","0.1"" Header","Adam Tech","PH2-14-UA","2057-PH2-14-UA-ND","737-PH2-14-UA"
"J103","1","USBC","Amphenol ICC","10164359-00011LF","609-10164359-00011LFCT-ND","649-10164359-00011LF"
"L101,L102,L103","3","1.20n","Murata","LQG15HS1N2B02D","490-LQG15HS1N2B02DCT-ND","81-LQG15HS1N2B02D"
"R101","1","10.0k","Panasonic","ERJ-2GEJ103X","P10KJCT-ND","667-ERJ-2GEJ103X"
"R102,R103,R104","3","100","Panasonic","ERJ-2GEJ101X","P100JCT-ND","667-ERJ-2GEJ101X"
"R105","1","56.0k","Panasonic","ERJ-2RKF5602X","P56.0KLCT-ND","667-ERJ-2RKF5602X"
"R106","1","220","Panasonic","ERJ-2RKF2200X","P220LCT-ND","667-ERJ-2RKF2200X"
"R107,R108","2","5.10k","Panasonic","ERJ-2RKF5101X","P5.10KLCT-ND","667-ERJ-2RKF5101X"
"U101","1","CC2500","Texas Instruments","CC2500RGPR","296-38562-1-ND","595-CC2500RGPR"
"U102","1","TPS7A2033PD","Texas Instruments","TPS7A2033PDBVR","296-TPS7A2033PDBVRCT-ND","595-TPS7A2033PDBVR"
"Y101","1","ABM8-26.000MHZ","Abracon","ABM8-26.000MHz-10-D-1-G-T","535-15004-1-ND","815-M826000MHZ10D1GT"
